Date,Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Avg_total_toll,Sigma_2ratio,Sigma_3ratio,Demand,Sigma_o,Sigma_toll,Sigma_pool2,Sigma_pool3
2021-11-24,9,1089.909090909091,3823.818181818182,6.9132471566506695,8.309153162810546,1.2291666666666667,0.11018223863950312,0.7192951938523877,5349.02532933096,0.6970213207471745,0.14291699375873798,0.1519731364700267,0.008088506387784503
2021-11-24,8,1051.5454545454545,3896.181818181818,6.737119864863139,7.778317985034143,1.1041666666666667,0.11018223863950312,0.7192951938523877,5296.281665503781,0.7189166259861482,0.151163136436347,0.12481411430889777,0.005106088071194436
2021-11-24,7,1107.8636363636365,3890.409090909091,6.8270668595663615,7.828418148722816,1.25,0.11018223863950312,0.7192951938523877,5356.360975128017,0.7286308679882332,0.1392516898012482,0.12735247719193502,0.004764920241179269
2021-11-24,6,980.6363636363636,3495.7727272727275,6.297391606274063,7.267856098451181,0.9583333333333334,0.11018223863950312,0.7192951938523877,4755.163093399892,0.7172166578595718,0.1669348995135691,0.11166587915526832,0.004182508051029969
2021-11-24,5,608.9545454545455,2407.954545454545,5.765621998137504,6.251498121199725,0.75,0.11018223863950312,0.7192951938523877,3132.191042858503,0.7611376377040088,0.1656395879759535,0.07205797510554149,0.0011647697695036532
2021-11-29,19,990.2272727272727,3526.7727272727275,6.719518355293143,7.705557866630496,1.5909090909090908,0.1106716499147284,0.717914292971443,4904.515961841546,0.7648437316698605,0.07877342309622405,0.15145900067290224,0.004923822644237109
2021-11-29,18,1264.909090909091,3757.636363636364,9.422316043885264,12.96903722629783,6.25,0.1106716499147284,0.717914292971443,6065.318495202437,0.6779002537988711,0.0,0.2568558163518363,0.06524389805161088
2021-11-29,17,1304.5,3735.136363636364,10.66050410125752,15.309981608495582,7.0,0.1106716499147284,0.717914292971443,6354.611775259683,0.6227886016927966,0.0,0.26725098859534047,0.10996034872960461
2021-11-29,16,1322.2727272727273,3828.636363636364,9.6426773026296,12.997049456159118,7.0,0.1106716499147284,0.717914292971443,6175.332564575051,0.6877267889942698,0.0,0.2537553272374272,0.05851783018033596
2021-11-29,15,1327.7272727272727,3861.727272727273,9.425216656792044,12.628900808493327,6.916666666666667,0.1106716499147284,0.717914292971443,6193.69112484157,0.6934492405657326,0.0,0.2533713680297852,0.053179343154470655
2021-11-29,14,1275.590909090909,3660.4545454545455,9.61190871556831,13.04950604632868,4.895833333333333,0.1106716499147284,0.717914292971443,5982.752554919335,0.6694732362485873,0.00046185264661337787,0.2705350879291659,0.05952979560128659
2021-11-29,13,1173.5454545454545,3626.227272727273,8.635393757052702,11.372382832130448,2.8125,0.1106716499147284,0.717914292971443,5794.60670707403,0.6622694469424786,0.00580847845882662,0.2975919691421308,0.034330038119114115
2021-11-29,12,1136.1363636363635,3754.590909090909,7.198783119003597,9.646654029776805,1.8333333333333333,0.1106716499147284,0.717914292971443,5678.673979906052,0.6414622214448332,0.088935088378965,0.24587840593303723,0.02372424703374567
