Hour,Origin,Destination,Demand
17,3430 - Mowry NB,3430 - Mowry NB,5.2342037547841755
17,3430 - Mowry NB,3440 - Decoto/84 NB,20.564288757194248
17,3430 - Mowry NB,3450 - Whipple NB,1.0
17,3430 - Mowry NB,3460 - Hesperian/238 NB,168.4672609126791
17,3440 - Decoto/84 NB,3440 - Decoto/84 NB,25.575760862976296
17,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
17,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,209.36875968496892
17,3450 - Whipple NB,3450 - Whipple NB,1.0
17,3450 - Whipple NB,3460 - Hesperian/238 NB,435.4283105022831
17,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,388.0397767630644
18,3420 - Auto Mall NB,3420 - Auto Mall NB,354.2645792563601
18,3420 - Auto Mall NB,3430 - Mowry NB,130.5188570518839
18,3420 - Auto Mall NB,3440 - Decoto/84 NB,461.70332077084066
18,3420 - Auto Mall NB,3450 - Whipple NB,1.0
18,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3796.0110746234595
18,3430 - Mowry NB,3430 - Mowry NB,5.660595002910611
18,3430 - Mowry NB,3440 - Decoto/84 NB,19.93824678879416
18,3430 - Mowry NB,3450 - Whipple NB,1.0
18,3430 - Mowry NB,3460 - Hesperian/238 NB,163.62650067404866
18,3440 - Decoto/84 NB,3440 - Decoto/84 NB,21.668021481461018
18,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
18,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,177.97718399799103
18,3450 - Whipple NB,3450 - Whipple NB,1.0
18,3450 - Whipple NB,3460 - Hesperian/238 NB,393.2255707762557
18,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,348.8357179096905
19,3420 - Auto Mall NB,3420 - Auto Mall NB,276.7407045009785
19,3420 - Auto Mall NB,3430 - Mowry NB,115.21820698928579
19,3420 - Auto Mall NB,3440 - Decoto/84 NB,393.2691891796584
19,3420 - Auto Mall NB,3450 - Whipple NB,1.0
19,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3289.689754515987
19,3430 - Mowry NB,3430 - Mowry NB,5.465354654549824
19,3430 - Mowry NB,3440 - Decoto/84 NB,18.57998838546507
19,3430 - Mowry NB,3450 - Whipple NB,1.0
19,3430 - Mowry NB,3460 - Hesperian/238 NB,155.88753367231388
19,3440 - Decoto/84 NB,3440 - Decoto/84 NB,14.702420608392584
19,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
19,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,122.83251089845673
19,3450 - Whipple NB,3450 - Whipple NB,1.0
19,3450 - Whipple NB,3460 - Hesperian/238 NB,339.25114155251146
19,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,303.3534246575342
20,3420 - Auto Mall NB,3420 - Auto Mall NB,213.26418786692759
20,3420 - Auto Mall NB,3430 - Mowry NB,89.2309683734558
20,3420 - Auto Mall NB,3440 - Decoto/84 NB,346.2920999471115
20,3420 - Auto Mall NB,3450 - Whipple NB,1.0
20,3420 - Auto Mall NB,3460 - Hesperian/238 NB,2752.3233974328573
20,3430 - Mowry NB,3430 - Mowry NB,4.1758809416126965
20,3430 - Mowry NB,3440 - Decoto/84 NB,16.219459048384415
20,3430 - Mowry NB,3450 - Whipple NB,1.0
20,3430 - Mowry NB,3460 - Hesperian/238 NB,128.65397507849605
20,3440 - Decoto/84 NB,3440 - Decoto/84 NB,12.807162465691286
20,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
20,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,101.40996082197994
20,3450 - Whipple NB,3450 - Whipple NB,1.0
20,3450 - Whipple NB,3460 - Hesperian/238 NB,295.93242009132416
20,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,248.87356671740233
21,3420 - Auto Mall NB,3420 - Auto Mall NB,162.4573385518591
21,3420 - Auto Mall NB,3430 - Mowry NB,67.98059628992495
21,3420 - Auto Mall NB,3440 - Decoto/84 NB,288.7602309536812
21,3420 - Auto Mall NB,3450 - Whipple NB,1.0
